artistId,artist,field,value,sourceName,sourceUrl,dateAccessed,confidence,status
1,Acid Pauli,instagramHandle,@therealacidpauli,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,instagramFollowers,76500,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,xHandle,@acidpauli,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,xFollowers,1654,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,facebookPage,Acid Pauli,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,facebookFollowers,102000,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,totalSocialReach,180154,Web search + social platforms,,2026-05-12,4,verified
1,Acid Pauli,verifiedStatus,verified_on_all_platforms,Web search + social platforms,,2026-05-12,4,verified
3,Air,instagramHandle,@airfrenchband,Web search + social platforms,,2026-05-12,3,partial
3,Air,xHandle,@airofficial,Web search + social platforms,,2026-05-12,3,partial
3,Air,xFollowers,13000,Web search + social platforms,,2026-05-12,3,partial
3,Air,facebookPage,AIR,Web search + social platforms,,2026-05-12,3,partial
3,Air,totalSocialReach,13000,Web search + social platforms,,2026-05-12,3,partial
3,Air,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,3,partial
4,Alva Noto,instagramHandle,@alvanoto,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,instagramFollowers,52600,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,xHandle,@alvanoto,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,xFollowers,13166,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,facebookPage,alva noto,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,facebookFollowers,52000,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,totalSocialReach,117766,Web search + social platforms,,2026-05-12,4,verified
4,Alva Noto,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,4,verified
5,Aphex Twin,instagramHandle,@instaphex,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,instagramFollowers,260100,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,xHandle,@AphexTwin,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,xFollowers,164000,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,facebookPage,Aphex Twin,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,facebookFollowers,922000,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,totalSocialReach,1346100,Web search + social platforms,,2026-05-12,5,verified
5,Aphex Twin,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,instagramHandle,@aroojaftab,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,instagramFollowers,174600,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,xHandle,@arooj_aftab,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,xFollowers,20900,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,facebookPage,Arooj Aftab,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,facebookFollowers,50000,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,totalSocialReach,245500,Web search + social platforms,,2026-05-12,5,verified
6,Arooj Aftab,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,xHandle,@bassnectar,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,xFollowers,232000,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,facebookPage,Bassnectar,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,facebookFollowers,1190000,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,totalSocialReach,1422000,Web search + social platforms,,2026-05-12,5,verified
7,Bassnectar,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,instagramHandle,@thebeatles,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,xHandle,@thebeatles,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,xFollowers,3527000,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,facebookPage,The Beatles,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,facebookFollowers,36960000,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,totalSocialReach,40487000,Web search + social platforms,,2026-05-12,5,verified
8,The Beatles,verifiedStatus,verified_on_all_platforms,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,instagramHandle,@beyonce,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,instagramFollowers,300924921,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,xHandle,@Beyonce,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,xFollowers,13222000,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,facebookPage,Beyoncé,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,facebookFollowers,55910000,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,totalSocialReach,370056921,Web search + social platforms,,2026-05-12,5,verified
9,Beyoncé,verifiedStatus,verified_on_all_platforms,Web search + social platforms,,2026-05-12,5,verified
10,Bicep,instagramHandle,@feelmybicep,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,instagramFollowers,423400,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,xHandle,@feelmybicep,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,xFollowers,61000,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,facebookPage,Bicep,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,totalSocialReach,484400,Web search + social platforms,,2026-05-12,4,verified
10,Bicep,verifiedStatus,verified_on_x,Web search + social platforms,,2026-05-12,4,verified
11,Billie Eilish,instagramHandle,billieeilish,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,instagramFollowers,120000000,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,xHandle,billieeilish,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,xFollowers,8405000,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,facebookPage,billieeilish,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,facebookFollowers,30850000,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,totalSocialReach,159255000,Web search + social platforms,,2026-05-12,5,verified
11,Billie Eilish,verifiedStatus,Verified on Instagram and X,Web search + social platforms,,2026-05-12,5,verified
12,Björk,instagramHandle,bjork,Web search + social platforms,,2026-05-12,5,verified
12,Björk,instagramFollowers,2614000,Web search + social platforms,,2026-05-12,5,verified
12,Björk,xHandle,bjork,Web search + social platforms,,2026-05-12,5,verified
12,Björk,xFollowers,829000,Web search + social platforms,,2026-05-12,5,verified
12,Björk,facebookPage,bjork,Web search + social platforms,,2026-05-12,5,verified
12,Björk,facebookFollowers,3230000,Web search + social platforms,,2026-05-12,5,verified
12,Björk,totalSocialReach,6673000,Web search + social platforms,,2026-05-12,5,verified
12,Björk,verifiedStatus,Verified on X,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,instagramHandle,bobdylan,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,instagramFollowers,1278000,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,xHandle,bobdylan,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,xFollowers,494000,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,facebookPage,bobdylan,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,facebookFollowers,6900000,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,totalSocialReach,8672000,Web search + social platforms,,2026-05-12,5,verified
13,Bob Dylan,verifiedStatus,Verified on X,Web search + social platforms,,2026-05-12,5,verified
14,Bonobo,instagramHandle,si_bonobo,Web search + social platforms,,2026-05-12,4,verified
14,Bonobo,instagramFollowers,407000,Web search + social platforms,,2026-05-12,4,verified
14,Bonobo,xHandle,si_bonobo,Web search + social platforms,,2026-05-12,4,verified
14,Bonobo,xFollowers,115000,Web search + social platforms,,2026-05-12,4,verified
14,Bonobo,totalSocialReach,522000,Web search + social platforms,,2026-05-12,4,verified
14,Bonobo,verifiedStatus,Verified on X,Web search + social platforms,,2026-05-12,4,verified
15,Brian Eno,instagramHandle,brianeno,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,instagramFollowers,365000,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,xHandle,brianeno,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,xFollowers,56000,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,facebookPage,BrianEno,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,facebookFollowers,540000,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,totalSocialReach,961000,Web search + social platforms,,2026-05-12,5,verified
15,Brian Eno,verifiedStatus,Verified on X,Web search + social platforms,,2026-05-12,5,verified
16,Cardi B,instagramHandle,iamcardib,Web search + social platforms,,2026-05-12,5,verified
16,Cardi B,instagramFollowers,164090000,Web search + social platforms,,2026-05-12,5,verified
16,Cardi B,xHandle,iamcardib,Web search + social platforms,,2026-05-12,5,verified
